Date,Close,declining,advancing,dec_vol,adv_vol
2015-07-14,2102.3,1131.0,1985.0,875109862.0,2049097594.0
2015-07-15,2104.3,1875.0,1283.0,2086009515.0,1123103023.0
2015-07-16,2117.0,973.0,2215.0,1182646101.0,1998278330.0
2015-07-17,2118.5,2040.0,1108.0,2345155641.0,952514146.0
2015-07-20,2122.0,2122.0,1019.0,2220884481.0,922356862.0
2015-07-21,2115.0,1878.0,1267.0,1951906733.0,1281419438.0
2015-07-22,2108.0,1837.0,1327.0,2061635917.0,1544138027.0
2015-07-23,2098.7,2161.0,998.0,2617470042.0,1090821596.0
2015-07-24,2077.5,2301.0,862.0,3032650264.0,789421695.0
2015-07-27,2064.3,2299.0,876.0,2906455315.0,829130000.0
2015-07-28,2087.5,878.0,2298.0,542740609.0,3430292613.0
2015-07-29,2101.5,867.0,2287.0,838954443.0,3116891639.0
2015-07-30,2104.0,1552.0,1598.0,1978828734.0,1537476261.0
2015-07-31,2100.7,1170.0,1979.0,1888839041.0,1718976166.0
2015-08-03,2090.8,1908.0,1241.0,2459402711.0,951700211.0
2015-08-04,2083.3,1684.0,1446.0,1879261749.0,1606050005.0
2015-08-05,2094.5,1592.0,1553.0,2058270955.0,1780757416.0
2015-08-06,2079.5,1877.0,1282.0,2204035105.0,1986063239.0
2015-08-07,2073.5,1850.0,1304.0,2410884707.0,1141690534.0
2015-08-10,2100.0,774.0,2376.0,375259313.0,3016654014.0
2015-08-11,2079.3,1971.0,1193.0,2620727517.0,1037432560.0
2015-08-12,2084.5,1598.0,1567.0,1855997430.0,2291398287.0
2015-08-13,2080.3,1867.0,1242.0,1989999179.0,1117316310.0
2015-08-14,2089.3,998.0,2137.0,981494091.0,1773844961.0
2015-08-17,2099.5,1229.0,1938.0,886225285.0,1882606335.0
2015-08-18,2093.8,2036.0,1110.0,1775695285.0,1120723727.0
2015-08-19,2072.5,2329.0,811.0,2775934251.0,690846461.0
2015-08-20,2025.0,2681.0,502.0,3396053237.0,491851603.0
2015-08-21,1971.5,2717.0,481.0,293649258.0,338999539.0
2015-08-24,1872.0,3076.0,161.0,1220402360.0,194774572.0
2015-08-25,1871.5,1768.0,1408.0,3914829336.0,1147598578.0
2015-08-26,1940.0,649.0,2541.0,593294245.0,320654325.0
2015-08-27,1989.3,354.0,2861.0,227293999.0,326400394.0
2015-08-28,1988.5,1092.0,2072.0,1284101777.0,2580065951.0
2015-08-31,1963.5,1771.0,1381.0,2121296696.0,1685259258.0
2015-09-01,1916.0,2742.0,444.0,4140936057.0,179428239.0
2015-09-02,1946.5,824.0,2343.0,669705367.0,2972320304.0
2015-09-03,1945.5,1111.0,2025.0,997505475.0,2435033368.0
2015-09-04,1921.5,2383.0,768.0,2798356412.0,332180775.0
2015-09-08,1965.7,684.0,2492.0,411056180.0,3087087127.0
2015-09-09,1943.0,2340.0,808.0,2954598814.0,557242534.0
2015-09-10,1950.5,1457.0,1670.0,1518776512.0,2038838301.0
2015-09-11,1961.0,1458.0,1692.0,1476838361.0,1627817478.0
2015-09-14,1953.0,2093.0,1028.0,1915656355.0,1014041589.0
2015-09-15,1979.5,960.0,2169.0,619982751.0,2540765757.0
2015-09-16,1998.0,740.0,2420.0,386771275.0,3190748877.0
2015-09-17,1985.0,1242.0,1916.0,2104695327.0,1991593064.0
2015-09-18,1951.5,2183.0,968.0,514921003.0,802738915.0
2015-09-21,1963.0,1282.0,1881.0,1420674002.0,1772732225.0
2015-09-22,1932.5,2507.0,659.0,3231836511.0,515636155.0
2015-09-23,1928.5,1826.0,1301.0,2227123947.0,921573231.0
2015-09-24,1919.0,1870.0,1267.0,2316806658.0,1638732159.0
2015-09-25,1919.3,1634.0,1509.0,2029929144.0,1618715934.0
2015-09-28,1872.0,2862.0,329.0,4047091680.0,226194037.0
2015-09-29,1874.3,1776.0,1382.0,1930640940.0,2144402198.0
2015-09-30,1905.0,790.0,2386.0,570159982.0,3832713210.0
2015-10-01,1917.0,1609.0,1538.0,1827298659.0,2069254592.0
2015-10-02,1942.5,804.0,2364.0,732735678.0,3573718135.0
2015-10-05,1975.2,387.0,2808.0,254122751.0,4047071787.0
2015-10-06,1968.0,1412.0,1735.0,1543989180.0,2505878067.0
2015-10-07,1987.2,713.0,2441.0,845683422.0,3712315061.0
2015-10-08,2006.7,704.0,2451.0,672036711.0,3060321884.0
2015-10-09,2007.0,1355.0,1748.0,1761967475.0,1863379296.0
2015-10-12,2010.8,1500.0,1641.0,1774688349.0,1075378847.0
2015-10-13,1993.5,2285.0,881.0,2614431141.0,636652974.0
2015-10-14,1984.5,1881.0,1272.0,1850681041.0,1709859597.0
2015-10-15,2019.0,599.0,2564.0,727715181.0,2911731617.0
2015-10-16,2025.5,1285.0,1864.0,1676012438.0,1845356631.0
2015-10-19,2027.5,1684.0,1470.0,1864838312.0,1333267802.0
2015-10-20,2021.2,1223.0,1916.0,1393797793.0,1857054525.0
2015-10-21,2008.5,2222.0,914.0,2779952518.0,774201742.0
2015-10-22,2053.5,817.0,2352.0,1386935667.0,2952995828.0
2015-10-23,2066.0,1295.0,1847.0,1629102107.0,2346060132.0
2015-10-26,2062.3,1945.0,1204.0,2175087526.0,1140832433.0
2015-10-27,2060.5,2331.0,825.0,2903774308.0,1180793071.0
2015-10-28,2083.7,691.0,2462.0,1145226164.0,3522022191.0
2015-10-29,2083.0,1905.0,1218.0,2521868214.0,1374576683.0
2015-10-30,2073.5,1442.0,1691.0,2163238232.0,1896637598.0
2015-11-02,2095.0,612.0,2557.0,597837446.0,3130451836.0
2015-11-03,2102.5,1320.0,1829.0,1376137826.0,2792244349.0
