Date,S&P PUT-CALL RATIO,S&P PUT VOLUME,S&P CALL VOLUME,PREV. DAY OPEN INTEREST
2015-10-28,1.24,590787.0,475526.0,1066313.0
2015-10-29,1.19,802555.0,672738.0,1475293.0
2015-10-30,1.95,788904.0,404369.0,1193273.0
2015-11-02,1.54,485346.0,315874.0,801220.0
2015-11-03,1.21,698795.0,577052.0,1275847.0
2015-11-04,1.53,515845.0,337604.0,853449.0
2015-11-05,2.17,624796.0,287551.0,912347.0
2015-11-06,1.85,880196.0,476336.0,1356532.0
2015-11-09,2.53,830990.0,328662.0,1159652.0
2015-11-10,1.41,350817.0,248633.0,599450.0
2015-11-11,2.15,384772.0,178899.0,563671.0
2015-11-12,2.2,821698.0,373976.0,1195674.0
2015-11-13,2.15,1222187.0,567649.0,1789836.0
2015-11-16,1.8,745756.0,415416.0,1161172.0
2015-11-17,1.88,596520.0,317771.0,914291.0
2015-11-18,2.21,923117.0,418173.0,1341290.0
2015-11-19,1.48,577087.0,389774.0,966861.0
2015-11-20,2.11,682116.0,323574.0,1005690.0
2015-11-23,2.68,550844.0,205706.0,756550.0
2015-11-24,2.44,596111.0,243825.0,839936.0
2015-11-25,2.28,524840.0,230078.0,754918.0
2015-11-27,2.13,438313.0,205494.0,643807.0
2015-11-30,2.62,689134.0,262634.0,951768.0
2015-12-01,2.18,561897.0,257973.0,819870.0
2015-12-02,1.78,696404.0,391935.0,1088339.0
2015-12-03,2.06,929023.0,450050.0,1379073.0
2015-12-04,1.66,815896.0,492348.0,1308244.0
2015-12-07,2.03,477851.0,234893.0,712744.0
2015-12-08,1.38,388801.0,282197.0,670998.0
2015-12-09,1.7,672858.0,396764.0,1069622.0
2015-12-10,1.98,668619.0,337794.0,1006413.0
2015-12-11,2.11,1154944.0,547025.0,1701969.0
2015-12-14,2.59,972931.0,375229.0,1348160.0
2015-12-15,1.77,696706.0,393204.0,1089910.0
2015-12-16,1.63,801324.0,492214.0,1293538.0
2015-12-17,1.64,790497.0,480548.0,1271045.0
2015-12-18,2.14,787530.0,368403.0,1155933.0
2015-12-21,1.88,523963.0,278346.0,802309.0
2015-12-22,2.03,584328.0,287400.0,871728.0
2015-12-23,1.64,629289.0,382719.0,1012008.0
2015-12-24,1.92,303930.0,158106.0,462036.0
2015-12-28,1.85,307101.0,165773.0,472874.0
2015-12-29,1.74,466358.0,268121.0,734479.0
2015-12-30,2.39,454520.0,190177.0,644697.0
2015-12-31,1.97,625693.0,318189.0,943882.0
2016-01-04,1.78,835105.0,469456.0,1304561.0
2016-01-05,2.04,584610.0,286672.0,871282.0
2016-01-06,1.87,724616.0,387728.0,1112344.0
2016-01-07,2.24,1180915.0,527000.0,1707915.0
2016-01-08,2.22,1075158.0,485110.0,1560268.0
2016-01-11,2.61,1089364.0,417192.0,1506556.0
2016-01-12,1.7,693482.0,407329.0,1100811.0
2016-01-13,2.11,886075.0,420682.0,1306757.0
2016-01-14,1.8,1118806.0,622818.0,1741624.0
2016-01-15,2.28,1107532.0,484893.0,1592425.0
2016-01-19,1.94,661648.0,341177.0,1002825.0
2016-01-20,2.39,1669037.0,696907.0,2365944.0
2016-01-21,1.61,920626.0,571093.0,1491719.0
2016-01-22,1.65,767356.0,466231.0,1233587.0
2016-01-25,1.6,501222.0,312800.0,814022.0
2016-01-26,1.22,447852.0,367919.0,815771.0
2016-01-27,1.53,528866.0,345991.0,874857.0
2016-01-28,1.84,515637.0,280918.0,796555.0
2016-01-29,1.47,881355.0,599208.0,1480563.0
2016-02-01,1.72,571148.0,331810.0,902958.0
2016-02-02,1.73,563898.0,325791.0,889689.0
2016-02-03,1.7,704897.0,414043.0,1118940.0
2016-02-04,2.21,593813.0,268927.0,862740.0
2016-02-05,1.79,797204.0,444857.0,1242061.0
2016-02-08,1.89,898356.0,474557.0,1372913.0
2016-02-09,1.99,680921.0,341790.0,1022711.0
2016-02-10,1.84,614631.0,334503.0,949134.0
2016-02-11,1.93,903969.0,467733.0,1371702.0
2016-02-12,1.91,898249.0,470100.0,1368349.0
2016-02-16,1.91,731364.0,382572.0,1113936.0
2016-02-17,1.9,1077143.0,566865.0,1644008.0
2016-02-18,1.72,785986.0,456657.0,1242643.0
2016-02-19,2.12,758179.0,357427.0,1115606.0
2016-02-22,1.76,732131.0,416528.0,1148659.0
2016-02-23,2.52,643698.0,255670.0,899368.0
2016-02-24,1.87,655794.0,350802.0,1006596.0
2016-02-25,1.79,585706.0,327326.0,913032.0
2016-02-26,1.55,735972.0,474193.0,1210165.0
2016-02-29,1.84,652667.0,354876.0,1007543.0
2016-03-01,1.25,709951.0,567921.0,1277872.0
2016-03-02,1.79,698228.0,390087.0,1088315.0
2016-03-03,1.25,688729.0,549088.0,1237817.0
2016-03-04,1.19,810738.0,678829.0,1489567.0
2016-03-07,1.77,477861.0,269380.0,747241.0
2016-03-08,1.79,566910.0,317573.0,884483.0
2016-03-09,1.5,566937.0,378964.0,945901.0
2016-03-10,1.75,687714.0,393681.0,1081395.0
2016-03-11,1.2,784866.0,653788.0,1438654.0
2016-03-14,1.5,471223.0,314004.0,785227.0
2016-03-15,1.33,512882.0,385706.0,898588.0
2016-03-16,1.54,801723.0,520404.0,1322127.0
2016-03-17,1.06,837080.0,789924.0,1627004.0
2016-03-18,1.33,712080.0,533931.0,1246011.0
2016-03-21,1.54,497790.0,323121.0,820911.0
2016-03-22,1.56,510229.0,326317.0,836546.0
2016-03-23,1.42,564915.0,398280.0,963195.0
2016-03-24,1.85,712949.0,384487.0,1097436.0
2016-03-28,1.66,385512.0,232832.0,618344.0
2016-03-29,1.46,486866.0,332503.0,819369.0
2016-03-30,1.11,809817.0,729378.0,1539195.0
2016-03-31,1.89,639176.0,338146.0,977322.0
2016-04-01,1.47,643106.0,438850.0,1081956.0
2016-04-04,1.42,450412.0,318252.0,768664.0
2016-04-05,1.71,462337.0,270930.0,733267.0
